sku,name,category,price,description,shop_description,units_in_stock,is_featured,feature_title,backstory,image_folder
DRG-EMB-001,Ember the Crystal Dragon,dragons,45.00,"A stunning articulated dragon with crystal-effect iridescent scales. Fully poseable with smooth joint movement.","<p>Ember is a majestic articulated dragon featuring crystal-effect PLA that shimmers beautifully in the light.</p><p>Fully articulated body allows for endless posing possibilities. Each dragon is unique - printed and hand-finished with care.</p>",1,true,Ember the Ancient,"Born in the heart of a dying star, Ember carries the last light of an ancient sun within her crystalline form. Legend says her scales contain fragments of forgotten constellations, and on quiet nights, you can see them twinkle with the memories of distant galaxies.",dragons/ember
DRG-SHD-001,Shadow Wing,dragons,55.00,"Large articulated dragon in midnight black with silver accents. Premium size with exceptional detail.","<p>Shadow Wing is a premium large-format articulated dragon, printed in stunning midnight black with hand-painted silver accents.</p><p>This showcase piece features enhanced articulation and incredible detail in every scale.</p>",1,true,Shadow Wing the Silent,"In the depths of the Mistwood, where moonlight fears to tread, Shadow Wing keeps eternal vigil. They say she was once a guardian of the old kingdom, cursed to walk between worlds. Her silver-touched scales are said to be tears of the last queen, frozen in time.",dragons/shadow
DIN-TRX-001,T-Rex Classic,dinosaurs,35.00,"Classic T-Rex articulated model. Fully poseable with realistic proportions.","<p>The king of dinosaurs, now available as a fully articulated desk companion!</p><p>This T-Rex features realistic proportions and smooth articulation. Perfect for dinosaur enthusiasts of all ages.</p>",3,false,,,dinosaurs/trex
DIN-TRI-001,Triceratops,dinosaurs,32.00,"Articulated Triceratops with detailed frill and horns.","<p>A beautifully detailed Triceratops with articulated body and stunning frill detail.</p><p>Hand-painted horn tips add extra character to this prehistoric favourite.</p>",2,false,,,dinosaurs/triceratops
WLD-RSQ-001,Red Squirrel Diorama,wildlife,28.00,"British red squirrel in a woodland scene. Hand-painted with autumn leaves.","<p>Celebrate British wildlife with this charming red squirrel diorama.</p><p>Hand-painted in realistic colours with a seasonal autumn scene. Perfect for nature lovers.</p>",2,false,,,wildlife/redsquirrel
WLD-ERM-001,Winter Ermine,wildlife,24.00,"Stoat in winter coat (ermine). Mounted on snowy base.","<p>The elegant ermine in its pure white winter coat, mounted on a hand-crafted snowy base.</p><p>A beautiful piece that captures the magic of British winter wildlife.</p>",3,false,,,wildlife/ermine
TOY-FDG-001,Fidget Dragon Mini,toys,12.00,"Small articulated dragon fidget toy. Perfect desk companion.","<p>A pocket-sized articulated dragon that's perfect for fidgeting!</p><p>Smooth joint movement makes this an ideal desk toy or stress reliever.</p>",10,false,,,toys/fidgetdragon
TOY-OCT-001,Articulated Octopus,toys,15.00,"Eight-legged fidget friend with smooth tentacle movement.","<p>This adorable articulated octopus features eight independently moving tentacles.</p><p>A fun and unique fidget toy that's sure to be a conversation starter.</p>",8,false,,,toys/octopus
SPE-GLD-001,Golden Anniversary Dragon,special-editions,120.00,"Limited edition large dragon in metallic gold. Certificate of authenticity included.","<p>A stunning limited edition dragon printed in premium metallic gold filament.</p><p>Each piece is numbered and includes a certificate of authenticity. Only 10 ever made.</p>",1,true,Aurelia the Eternal,"Forged in the fires of the First Dawn, Aurelia was gifted to the mortal realm as a symbol of hope. Her golden scales hold the warmth of a thousand sunrises, and it is said that those who possess her will never know true darkness. This is piece #7 of 10.",special/golden
SPE-DUO-001,Dragon Duo Display,special-editions,85.00,"Pair of complementary dragons: one light, one dark. Display stand included.","<p>A matched pair of articulated dragons representing light and shadow.</p><p>Includes custom display stand. Perfect for collectors or as a meaningful gift.</p>",1,true,The Eternal Dance,"Since time immemorial, Dawn and Dusk have danced across the sky in eternal harmony. These twin dragons represent that cosmic ballet - neither complete without the other, forever intertwined in the cycle of day and night.",special/dragonduo
